customer_id,first_name,last_name,age,province,city,employment_status,income,customer_since,Start_Year,Start_Month,Start_Day,Weekday,cus_trans_count,cus_total_trans_val,customer_avg_trans,cus_max_trans,customer_segment
14,Anele,Molefe,37,Gauteng,Midrand,Self-employed,45374.26,2025-10-29,2025,10,29,2,11.0,12235.79,1112.3445454545454,4151.32,High Income
15,Anele,Mahlangu,33,Gauteng,Johannesburg,Employed,3913.24,2012-07-28,2012,7,28,5,20.0,31525.72,1576.286,14398.84,Low Income
16,Amelia,Nkosi,49,Gauteng,Johannesburg,Employed,26768.75,2018-04-08,2018,4,8,6,9.0,10970.84,1218.9822222222222,3843.44,Middle Income
17,Ayanda,Van Wyk,24,Gauteng,Johannesburg,Self-employed,6756.5,2013-11-15,2013,11,15,4,20.0,12416.47,620.8235,1598.06,Low Income
18,Amahle,Khumalo,35,Free State,Bloemfontein,Employed,13589.95,2012-10-18,2012,10,18,3,1.0,5050.07,5050.07,5050.07,Middle Income
19,Kabelo,Naidoo,51,Western Cape,Paarl,Employed,23417.93,2025-12-22,2025,12,22,0,14.0,10298.98,735.6414285714285,1931.99,Middle Income
20,Bongani,Botha,27,Limpopo,Tzaneen,Employed,11124.33,2014-02-11,2014,2,11,1,23.0,29436.49,1279.847391304348,9912.7,Middle Income
21,Amahle,Van Wyk,53,Limpopo,Tzaneen,Self-employed,16165.34,2016-10-03,2016,10,3,0,15.0,14899.58,993.3053333333334,6902.41,Middle Income
22,Kabelo,Khumalo,21,Gauteng,Midrand,Employed,26752.32,2015-01-10,2015,1,10,5,12.0,9561.27,796.7725,2252.12,Middle Income
23,Kabelo,Mahlangu,31,Gauteng,Pretoria,Unemployed,16149.34,2019-02-21,2019,2,21,3,54.0,40205.57,744.5475925925925,3807.55,Middle Income
24,Amahle,Sithole,31,Kwazulu-Natal,Pietermaritzburg,Self-employed,29470.67,2019-11-03,2019,11,3,6,17.0,22175.8,1304.4588235294118,10361.75,Middle Income
25,Nomsa,Ndlovu,47,Western Cape,Cape Town,Employed,44280.21,2018-12-21,2018,12,21,4,7.0,2164.54,309.22,604.75,High Income
26,Mia,Williams,18,Gauteng,Pretoria,Self-employed,29107.91,2014-07-14,2014,7,14,0,19.0,36394.14,1915.481052631579,12482.08,Middle Income
27,Mia,Williams,18,North West,Rustenburg,Self-employed,22746.53,2023-09-28,2023,9,28,3,15.0,17821.65,1188.11,6577.78,Middle Income
28,Sipho,Mabena,53,Northern Cape,Kuruman,Employed,49710.92,2013-12-26,2013,12,26,3,20.0,17328.21,866.4105,3523.57,High Income
29, Amahle ,Nkosi,25,Free State,Bethlehem,Self-employed,21905.06,2024-04-28,2024,4,28,6,9.0,10312.62,1145.8466666666668,2822.54,Middle Income
30,Amahle,Mokoena,20,Gauteng,Pretoria,Employed,17303.24,2017-02-03,2017,2,3,4,19.0,17596.01,926.105789473684,4144.78,Middle Income
31,Nomsa,Mokoena,33,Eastern Cape,East London,Student,29498.94,2024-09-23,2024,9,23,0,14.0,5958.26,425.59,1455.36,Middle Income
32,Lerato,Mthembu,18,Eastern Cape,Gqeberha,Self-employed,6467.8,2022-09-20,2022,9,20,1,34.0,34033.7,1000.991176470588,5161.94,Low Income
33,Liam,Van Wyk,18,Gauteng,Midrand,Employed,48560.92,2022-07-25,2022,7,25,0,9.0,3387.42,376.38,1291.82,High Income
34,Liam,Khumalo,56,Eastern Cape,Mthatha,Employed,11132.51,2025-05-28,2025,5,28,2,22.0,23559.63,1070.8922727272727,4589.79,Middle Income
35,Lucas,Mokoena,59,Western Cape,Paarl,Employed,12300.29,2016-04-30,2016,4,30,5,8.0,17456.78,2182.0975,7182.94,Middle Income
36,Kabelo,Mahlangu,48,Gauteng,Midrand,Unemployed,0.0,2022-04-10,2022,4,10,6,10.0,15028.52,1502.852,5758.93,
37,Amahle,Mokoena,54,Kwazulu-Natal,Pietermaritzburg,Self-employed,66072.25,2015-05-27,2015,5,27,2,7.0,4977.4,711.0571428571428,2143.88,Very High Income
38,Anele,Dlamini,28,Gauteng,Pretoria,Unemployed,18536.23,2021-08-05,2021,8,5,3,8.0,5168.66,646.0825,1385.93,Middle Income
39,Sibusiso,Van Wyk,61,Gauteng,Midrand,Employed,13514.7,2023-09-22,2023,9,22,4,35.0,38982.05,1113.7728571428572,6319.83,Middle Income
40,Sipho,Nkosi,19,Limpopo,Thohoyandou,Employed,18700.4,2024-11-30,2024,11,30,5,24.0,41538.64,1730.7766666666666,6896.64,Middle Income
41,Liam,Sithole,21,Northern Cape,Kimberley,Employed,7593.53,2024-10-06,2024,10,6,6,24.0,45134.23,1880.5929166666665,10789.46,Low Income
42,Kabelo,Adams,67,Kwazulu-Natal,Durban,Employed,0.0,2017-11-20,2017,11,20,0,16.0,20029.33,1251.833125,4620.49,
43,Amahle,Pillay,42,Limpopo,Polokwane,Self-employed,16962.94,2019-03-12,2019,3,12,1,6.0,7917.69,1319.615,3426.78,Middle Income
44,Amelia,Khumalo,55,Northern Cape,Kuruman,Self-employed,7246.79,2014-11-27,2014,11,27,3,11.0,7357.6,668.8727272727273,2909.8,Low Income
45,Bongani,Williams,61,Gauteng,Midrand,Student,14680.05,2023-06-10,2023,6,10,5,15.0,13280.76,885.384,2840.3,Middle Income
46,Anele,Jacobs,41,Kwazulu-Natal,Richards Bay,Employed,10045.43,2014-10-28,2014,10,28,1,14.0,15829.08,1130.6485714285714,6190.97,Middle Income
47,Amahle,Sithole,18,Gauteng,Pretoria,Employed,25314.12,2025-10-25,2025,10,25,5,10.0,18072.89,1807.289,5883.0,Middle Income
48,Liam,Mokoena,46,Western Cape,Cape Town,Employed,0.0,2013-08-26,2013,8,26,0,27.0,31269.32,1158.122962962963,3092.08,
49,Bongani,Sithole,46,Free State,Bloemfontein,Self-employed,12718.36,2014-11-12,2014,11,12,2,11.0,4442.56,403.86909090909086,1109.92,Middle Income
50,Sophia,Sithole,44,Kwazulu-Natal,Pietermaritzburg,Unemployed,20651.89,2020-11-07,2020,11,7,5,9.0,8173.19,908.1322222222224,3229.88,Middle Income
51,Sipho,Molefe,31,Kwazulu-Natal,Richards Bay,Employed,105174.49,2023-10-16,2023,10,16,0,11.0,17598.19,1599.8354545454545,9892.76,Very High Income
52,Thabo,Pillay,37,Gauteng,Pretoria,Unemployed,29216.47,2023-02-24,2023,2,24,4,41.0,40501.28,987.8360975609756,4640.17,Middle Income
53,Naledi,Adams,24,Gauteng,Soweto,Employed,16053.53,2012-09-01,2012,9,1,5,29.0,603257.4600000001,20801.981379310346,574984.16,Middle Income
54,Zanele,Adams,44,Mpumalanga,Mbombela,Employed,39525.63,2023-07-28,2023,7,28,4,20.0,19160.46,958.023,5898.56,High Income
55,Kabelo,Mthembu,37,Western Cape,Stellenbosch,Student,7346.56,2025-01-14,2025,1,14,1,12.0,9828.59,819.0491666666667,2214.61,Low Income
56,Oliver,Williams,55,Gauteng,Midrand,Employed,20541.47,2015-03-02,2015,3,2,0,12.0,10208.47,850.7058333333333,3357.15,Middle Income
57,Oliver,Jacobs,18,Gauteng,Pretoria,Student,4140.31,2019-12-23,2019,12,23,0,18.0,465994.89,25888.605,442700.15,Low Income
58,Noah,Mahlangu,23,Kwazulu-Natal,Richards Bay,Employed,32545.94,2014-01-01,2014,1,1,2,35.0,46527.29,1329.3511428571428,6843.85,High Income
59,Lerato,Dlamini,53,Kwazulu-Natal,Pietermaritzburg,Unemployed,0.0,2020-03-15,2020,3,15,6,19.0,13899.91,731.5742105263158,1950.52,
60,Sibusiso,Mokoena,25,Kwazulu-Natal,Durban,Employed,7227.2,2021-12-20,2021,12,20,0,7.0,4817.01,688.1442857142857,1673.91,Low Income
61,Bongani,Jacobs,40,Western Cape,Stellenbosch,Employed,14667.22,2025-02-19,2025,2,19,2,32.0,44170.23,1380.3196875,11626.91,Middle Income
62,Emma,Mthembu,58,Gauteng,Midrand,Unemployed,28604.57,2024-04-11,2024,4,11,3,24.0,27518.97,1146.62375,5503.59,Middle Income
63,Sipho,Ndlovu,38,Limpopo,Thohoyandou,Retired,43320.13,2024-02-25,2024,2,25,6,4.0,3470.01,867.5025,1910.91,High Income
64,Ayanda,Ndlovu,54,Eastern Cape,Gqeberha,Self-employed,16771.94,2019-10-20,2019,10,20,6,11.0,16656.32,1514.2109090909091,4053.11,Middle Income
65,Sibusiso,Sithole,38,Eastern Cape,East London,Retired,42797.64,2022-06-29,2022,6,29,2,12.0,15902.6,1325.2166666666667,3692.66,High Income
66,Ayanda,Molefe,49,Eastern Cape,Mthatha,Nan,23458.05,2016-08-23,2016,8,23,1,7.0,2414.29,344.8985714285714,654.75,Middle Income
67,Sophia,Adams,61,Free State,Bethlehem,Employed,17270.02,2017-10-03,2017,10,3,1,12.0,39512.19,3292.6825000000003,26101.37,Middle Income
68,Amahle,Sithole,33,Western Cape,Stellenbosch,Retired,23951.0,2019-02-23,2019,2,23,5,8.0,6304.99,788.12375,2360.91,Middle Income
69,Sophia,Sithole,32,Gauteng,Pretoria,Self-employed,27391.42,2018-05-18,2018,5,18,4,6.0,5012.84,835.4733333333334,1769.38,Middle Income
70,Anele,Mahlangu,32,Kwazulu-Natal,Pietermaritzburg,Employed,33501.39,2015-11-20,2015,11,20,4,10.0,573859.58,57385.958,567056.5,High Income
71,Ethan,Sithole,42,Gauteng,Soweto,Self-employed,19881.59,2018-11-06,2018,11,6,1,24.0,18803.05,783.4604166666667,2906.67,Middle Income
72,Liam,Molefe,28,Limpopo,Tzaneen,Unemployed,9580.68,2024-08-10,2024,8,10,5,5.0,9927.27,1985.454,6343.63,Low Income
73,Amahle,Nkosi,36,Kwazulu-Natal,Pietermaritzburg,Unemployed,17312.14,2018-04-08,2018,4,8,6,21.0,21042.99,1002.047142857143,5181.51,Middle Income
74,Lucas,Dlamini,60,Free State,Bethlehem,Retired,139551.02,2025-05-17,2025,5,17,5,10.0,15287.83,1528.783,3741.23,Very High Income
75,Zanele,Van Wyk,48,Limpopo,Tzaneen,Student,30533.1,2014-11-04,2014,11,4,1,14.0,7274.72,519.6228571428571,1937.51,High Income
76,Lucas,Nkosi,38,Kwazulu-Natal,Richards Bay,Employed,23900.17,2023-09-29,2023,9,29,4,24.0,43710.72,1821.28,10932.55,Middle Income
77,Amelia,Jacobs,37,Mpumalanga,Mbombela,Employed,45029.99,2021-04-29,2021,4,29,3,6.0,13820.47,2303.411666666667,11481.95,High Income
78,Zanele,Naidoo,35,Kwazulu-Natal,Pietermaritzburg,Self-employed,12789.07,2013-02-07,2013,2,7,3,19.0,24874.7,1309.1947368421054,6895.94,Middle Income
79,Mia,Dlamini,40,Limpopo,Thohoyandou,Self-employed,13697.72,2020-07-08,2020,7,8,2,13.0,12264.71,943.4392307692308,6470.46,Middle Income
80,Ayanda,Dlamini,18,Gauteng,Pretoria,Employed,12754.88,2019-06-07,2019,6,7,4,17.0,20149.42,1185.26,10655.09,Middle Income
81,Liam,Botha,39,Kwazulu-Natal,Durban,Unemployed,65820.36,2015-03-08,2015,3,8,6,22.0,46590.51,2117.7504545454544,31003.67,Very High Income
82,Emma,Williams,62,Kwazulu-Natal,Durban,Self-employed,15735.84,2013-01-23,2013,1,23,2,12.0,13577.1,1131.425,3126.63,Middle Income
83,Sophia,Mabena,44,Western Cape,Cape Town,Employed,11593.9,2017-12-14,2017,12,14,3,6.0,5480.77,913.4616666666668,2614.9,Middle Income
84,Lerato,Williams,59,Gauteng,Midrand,Self-employed,37797.24,2020-07-29,2020,7,29,2,20.0,26655.11,1332.7555,4263.12,High Income
85,Mia, Jacobs ,43,Mpumalanga,Emalahleni,Employed,6436.75,2021-01-01,2021,1,1,4,11.0,5570.09,506.3718181818182,1434.17,Low Income
86,Ayanda,Jacobs,19,Eastern Cape,East London,Student,25084.76,2017-06-29,2017,6,29,3,34.0,29028.27,853.7726470588235,3939.87,Middle Income
87,Lucas,Khumalo,38,Gauteng,Pretoria,Employed,16442.79,2024-10-30,2024,10,30,2,15.0,18067.1,1204.4733333333331,7140.57,Middle Income
88,Emma,Dlamini,43,Gauteng,Soweto,Student,26958.5,2016-02-10,2016,2,10,2,11.0,15711.53,1428.3209090909093,5058.04,Middle Income
89,Noah,Mahlangu,44,Gauteng,Midrand,Self-employed,62483.66,2020-10-31,2020,10,31,5,9.0,8914.19,990.4655555555556,2532.31,Very High Income
90,Naledi,Mabena,21,Western Cape,Paarl,Retired,22856.15,2013-11-04,2013,11,4,0,7.0,3209.92,458.56,920.25,Middle Income
91,Amahle,Jacobs,39,North West,Mahikeng,Unemployed,24934.73,2012-09-15,2012,9,15,5,15.0,15019.85,1001.3233333333334,5761.1,Middle Income
92,Lucas,Mthembu,43,Kwazulu-Natal,Richards Bay,Self-employed,11064.92,2025-10-08,2025,10,8,2,10.0,7393.889999999999,739.3889999999999,2754.02,Middle Income
93,Lerato,Khumalo,41,Gauteng,Pretoria,Employed,11880.06,2025-08-20,2025,8,20,2,13.0,8751.65,673.2038461538461,1930.81,Middle Income
94,Naledi,Nkosi,51,Kwazulu-Natal,Durban,Self-employed,74826.49,2022-07-03,2022,7,3,6,22.0,19078.5,867.2045454545455,4162.06,Very High Income
95,Ethan,Mabena,28,Western Cape,Paarl,Employed,6863.48,2025-03-10,2025,3,10,0,11.0,11786.69,1071.5172727272727,5057.61,Low Income
96,Zanele,Nkosi,37,Gauteng,Johannesburg,Retired,13312.82,2022-04-22,2022,4,22,4,18.0,20684.3,1149.1277777777775,6827.98,Middle Income
97,Lerato,Williams,47,Eastern Cape,Mthatha,Employed,87108.59,2012-04-24,2012,4,24,1,11.0,10175.5,925.0454545454544,3936.66,Very High Income
98,Nomsa,Williams,31,Eastern Cape,Gqeberha,Employed,5670.29,2019-06-04,2019,6,4,1,18.0,21925.83,1218.1016666666667,5523.43,Low Income
99,Zanele,Adams,34,Northern Cape,Kimberley,Employed,9684.3,2015-09-27,2015,9,27,6,22.0,24530.95,1115.043181818182,5337.29,Low Income
100,Noah,Mthembu,54,Eastern Cape,Gqeberha,Employed,16200.67,2018-12-21,2018,12,21,4,21.0,14570.17,693.817619047619,4636.47,Middle Income
101,Naledi,Jacobs,37,Kwazulu-Natal,Durban,Employed,10453.96,2022-08-09,2022,8,9,1,24.0,21716.19,904.84125,7336.1,Middle Income
102,Emma,Khumalo,31,Free State,Welkom,Self-employed,30358.31,2025-08-09,2025,8,9,5,34.0,36305.8,1067.8176470588237,5560.38,High Income
103,Mia,Naidoo,48,Mpumalanga,Emalahleni,Unemployed,9396.25,2021-11-16,2021,11,16,1,28.0,28506.86,1018.1021428571428,6440.53,Low Income
104,Anele,Jacobs,56,Free State,Bloemfontein,Employed,18827.52,2016-03-09,2016,3,9,2,8.0,5607.58,700.9475,2314.46,Middle Income
105,Ayanda,Molefe,49,North West,Klerksdorp,Employed,6392.08,2022-12-26,2022,12,26,0,18.0,11185.79,621.4327777777778,1674.13,Low Income
106,Emma,Nkosi,39,Limpopo,Polokwane,Employed,27379.93,2022-11-03,2022,11,3,3,5.0,5993.0,1198.6,2744.52,Middle Income
107,Oliver,Mthembu,43,Mpumalanga,Mbombela,Employed,28660.16,2018-03-31,2018,3,31,5,5.0,3978.17,795.634,2176.41,Middle Income
108,Ethan,Dlamini,30,Western Cape,George,Nan,9944.06,2020-11-21,2020,11,21,5,11.0,7853.5,713.9545454545455,2110.37,Low Income
109,Ethan,Mthembu,30,Free State,Bloemfontein,Nan,35224.48,2014-03-11,2014,3,11,1,12.0,13992.07,1166.0058333333334,3341.47,High Income
110,Mia,Nkosi,21,Kwazulu-Natal,Richards Bay,Employed,26059.9,2023-08-16,2023,8,16,2,8.0,3966.18,495.7725,1157.88,Middle Income
111,Thabo,Pillay,37,Kwazulu-Natal,Durban,Employed,12195.16,2024-03-14,2024,3,14,3,2.0,8553.22,4276.61,8183.92,Middle Income
112,Ayanda,Van Wyk,29,Eastern Cape,Mthatha,Employed,17110.19,2013-02-21,2013,2,21,3,38.0,27195.87,715.6807894736842,3544.0,Middle Income
113,Emma,Van Wyk,34,North West,Klerksdorp,Self-employed,11488.24,2021-04-06,2021,4,6,1,5.0,2992.53,598.5060000000001,1530.15,Middle Income
114,Amahle,Khumalo,38,Northern Cape,Kimberley,Retired,16289.82,2017-02-11,2017,2,11,5,18.0,378789.11,21043.83944444444,255495.92,Middle Income
115,Oliver,Nkosi,38,Gauteng,Pretoria,Employed,60222.72,2024-10-18,2024,10,18,4,42.0,31869.7,758.802380952381,3749.64,Very High Income
116,Kabelo,Khumalo,43,Free State,Welkom,Employed,22204.7,2012-10-05,2012,10,5,4,21.0,12489.07,594.717619047619,1558.46,Middle Income
117,Lucas,Ndlovu,26,Free State,Welkom,Unemployed,32414.53,2023-02-22,2023,2,22,2,31.0,29312.86,945.576129032258,3185.58,High Income
118,Ayanda,Naidoo,41,Gauteng,Johannesburg,Self-employed,11702.12,2018-06-15,2018,6,15,4,30.0,42933.79,1431.1263333333334,4144.46,Middle Income
119,Ethan,Pillay,39,Gauteng,Pretoria,Self-employed,32881.87,2014-02-10,2014,2,10,0,30.0,20921.71,697.3903333333333,2613.0,High Income
120,Sipho,Sithole,41,Western Cape,Cape Town,Employed,45663.93,2017-08-12,2017,8,12,5,17.0,29070.9,1710.0529411764703,10454.63,High Income
121,Sipho,Ndlovu,18,Free State,Welkom,Employed,10107.69,2019-02-24,2019,2,24,6,17.0,19194.69,1129.0994117647058,2824.28,Middle Income
122,Liam,Jacobs,66,Kwazulu-Natal,Durban,Employed,48079.29,2012-08-01,2012,8,1,2,24.0,14173.59,590.56625,2342.27,High Income
123,Lucas,Mahlangu,29,Northern Cape,Upington,Employed,37811.53,2020-06-08,2020,6,8,0,18.0,33448.38,1858.243333333333,12052.58,High Income
124,Ava,Williams,32,Kwazulu-Natal,Durban,Student,26473.63,2012-03-09,2012,3,9,4,36.0,5028342.319999999,139676.17555555553,5000000.0,Middle Income
125,Ayanda,Mahlangu,18,Northern Cape,Upington,Self-employed,11293.53,2017-02-19,2017,2,19,6,10.0,11093.91,1109.391,2981.07,Middle Income
126,Emma,Mthembu,45,Gauteng,Johannesburg,Nan,49054.16,2023-09-25,2023,9,25,0,18.0,20432.7,1135.15,3402.94,High Income
127,Naledi,Botha,53,Limpopo,Thohoyandou,Employed,68518.97,2020-11-22,2020,11,22,6,11.0,21098.74,1918.0672727272724,7257.62,Very High Income
128,Mia,Ndlovu,18,Western Cape,Cape Town,Nan,45659.73,2020-03-17,2020,3,17,1,6.0,4076.64,679.44,1383.01,High Income
129,Ethan,Adams,36,Kwazulu-Natal,Pietermaritzburg,Retired,18898.76,2025-01-12,2025,1,12,6,21.0,21966.64,1046.030476190476,3490.55,Middle Income
130,Amelia, Nkosi ,41,Limpopo,Tzaneen,Employed,20867.07,2022-06-06,2022,6,6,0,14.0,19872.72,1419.48,5638.51,Middle Income
131,Oliver,Botha,45,North West,Mahikeng,Employed,31940.36,2019-01-15,2019,1,15,1,13.0,-989481.64,-76113.97230769231,4781.95,High Income
132,Anele,Dlamini,66,Limpopo,Tzaneen,Employed,6011.43,2015-02-10,2015,2,10,1,7.0,31511.56,4501.651428571428,17613.78,Low Income
133,Emma,Jacobs,59,Western Cape,Cape Town,Employed,18543.83,2014-01-08,2014,1,8,2,9.0,4961.4,551.2666666666667,1001.1,Middle Income
134,Ava,Khumalo,35,Gauteng,Midrand,Employed,12723.61,2018-12-17,2018,12,17,0,40.0,680008.6,17000.215,638931.98,Middle Income
135,Zanele,Khumalo,18,Western Cape,Cape Town,Employed,44394.75,2025-05-27,2025,5,27,1,8.0,7784.280000000001,973.035,4565.93,High Income
136,Mia,Mokoena,35,Western Cape,Stellenbosch,Self-employed,14102.98,2022-04-23,2022,4,23,5,24.0,27283.35,1136.80625,5563.82,Middle Income
137,Ava,Mokoena,36,Eastern Cape,East London,Student,47646.78,2016-10-17,2016,10,17,0,12.0,6412.889999999999,534.4074999999999,2778.83,High Income
138,Naledi,Ndlovu,29,Eastern Cape,Gqeberha,Retired,6411.85,2021-06-11,2021,6,11,4,13.0,13864.38,1066.4907692307693,5106.89,Low Income
139,Bongani,Pillay,29,Free State,Welkom,Unemployed,0.0,2023-03-30,2023,3,30,3,14.0,8729.01,623.5007142857143,1942.96,
140,Kabelo,Van Wyk,22,Mpumalanga,Mbombela,Employed,10024.86,2024-01-26,2024,1,26,4,15.0,14514.04,967.6026666666668,6301.0,Middle Income
141,Kabelo,Dlamini,39,Free State,Bloemfontein,Employed,76707.03,2020-09-23,2020,9,23,2,22.0,24409.39,1109.5177272727271,5371.0,Very High Income
142,Ethan,Adams,39,Limpopo,Thohoyandou,Nan,14244.22,2015-12-04,2015,12,4,4,15.0,14060.71,937.3806666666666,3194.0,Middle Income
143,Zanele,Molefe,20,Western Cape,Paarl,Employed,6157.49,2012-06-15,2012,6,15,4,24.0,24717.120000000003,1029.88,2768.01,Low Income
144,Sipho,Naidoo,37,Gauteng,Johannesburg,Student,16114.86,2013-09-08,2013,9,8,6,24.0,210952.79,8789.699583333333,180970.7,Middle Income
145,Sipho,Mthembu,70,Eastern Cape,Mthatha,Self-employed,16684.79,2015-04-11,2015,4,11,5,4.0,5475.389999999999,1368.8475,3028.0,Middle Income
146,Kabelo,Williams,31,Limpopo,Thohoyandou,Retired,0.0,2014-01-30,2014,1,30,3,19.0,28316.36,1490.3347368421053,6813.23,
147,Ava,Molefe,48,Western Cape,George,Student,6679.01,2022-03-09,2022,3,9,2,20.0,16303.7,815.1850000000001,1790.13,Low Income
148,Mia,Mthembu,41,Kwazulu-Natal,Pietermaritzburg,Self-employed,23371.34,2016-10-04,2016,10,4,1,29.0,45461.71,1567.645172413793,13145.14,Middle Income
149,Sibusiso,Khumalo,49,Eastern Cape,East London,Employed,13082.66,2023-09-23,2023,9,23,5,15.0,27667.06,1844.4706666666668,18519.42,Middle Income
150,Lerato,Mthembu,43,Western Cape,Stellenbosch,Employed,48859.92,2022-06-04,2022,6,4,5,18.0,22630.32,1257.24,6740.06,High Income
151,Ava,Nkosi,22,Gauteng,Pretoria,Self-employed,42119.24,2014-07-23,2014,7,23,2,8.0,4545.58,568.1975,1330.85,High Income
152,Liam,Mokoena,54,Mpumalanga,Mbombela,Employed,34981.17,2013-10-19,2013,10,19,5,21.0,10231455.5,487212.1666666667,10000000.0,High Income
153,Kabelo,Botha,39,Eastern Cape,Mthatha,Employed,24515.11,2018-03-03,2018,3,3,5,19.0,19221.47,1011.6563157894738,4803.37,Middle Income
154,Amelia,Mthembu,18,Gauteng,Midrand,Self-employed,14471.43,2019-11-16,2019,11,16,5,22.0,25283.45,1149.2477272727274,6938.57,Middle Income
155,Bongani,Sithole,55,Limpopo,Polokwane,Retired,23309.86,2017-07-08,2017,7,8,5,38.0,30977.16,815.1884210526316,4247.97,Middle Income
156,Thabo,Pillay,81,Gauteng,Pretoria,Self-employed,64515.76,2021-05-30,2021,5,30,6,13.0,9942.76,764.8276923076924,2320.55,Very High Income
157,Kabelo,Mabena,57,Limpopo,Tzaneen,Employed,0.0,2013-02-01,2013,2,1,4,10.0,12306.85,1230.685,4783.76,
158,Sipho,Mokoena,27,Gauteng,Midrand,Self-employed,19312.41,2024-10-12,2024,10,12,5,2.0,1141.39,570.6949999999999,1072.81,Middle Income
159,Sipho,Sithole,33,Kwazulu-Natal,Pietermaritzburg,Employed,33867.18,2023-10-15,2023,10,15,6,10.0,7486.91,748.691,3022.15,High Income
160,Ayanda,Dlamini,55,Gauteng,Soweto,Employed,12068.69,2014-10-18,2014,10,18,5,22.0,16704.89,759.3131818181818,2847.75,Middle Income
161,Zanele,Sithole,34,Gauteng,Soweto,Employed,16026.51,2018-03-31,2018,3,31,5,18.0,11662.09,647.8938888888889,2102.75,Middle Income
162,Kabelo,Naidoo,56,Mpumalanga,Mbombela,Employed,31895.65,2019-07-30,2019,7,30,1,22.0,-977263.46,-44421.06636363637,3205.13,High Income
163,Amahle,Dlamini,35,Gauteng,Pretoria,Unemployed,18644.83,2023-12-03,2023,12,3,6,18.0,24224.2,1345.788888888889,5787.13,Middle Income
164,Nomsa,Williams,54,Western Cape,George,Unemployed,16122.95,2015-05-04,2015,5,4,0,16.0,18800.59,1175.036875,6933.82,Middle Income
165,Noah,Sithole,62,Gauteng,Pretoria,Employed,34489.82,2020-12-24,2020,12,24,3,11.0,20786.26,1889.66,3953.06,High Income
166,Liam,Naidoo,41,Eastern Cape,Mthatha,Employed,31400.16,2020-01-01,2020,1,1,2,23.0,51483.68,2238.4208695652173,26037.2,High Income
167,Oliver,Adams,29,Limpopo,Thohoyandou,Nan,34760.17,2013-12-03,2013,12,3,1,15.0,9264.22,617.6146666666667,1613.5,High Income
168,Emma,Adams,25,Northern Cape,Kimberley,Employed,15187.12,2022-03-21,2022,3,21,0,32.0,370252.63,11570.3946875,344744.53,Middle Income
169,Lerato,Naidoo,44,Gauteng,Pretoria,Employed,20787.56,2021-09-26,2021,9,26,6,16.0,20483.15,1280.196875,5108.32,Middle Income
170,Sibusiso,Adams,42,Gauteng,Soweto,Employed,21686.51,2025-01-27,2025,1,27,0,8.0,19812.03,2476.5037500000003,13849.18,Middle Income
171,Amelia,Pillay,56,Gauteng,Johannesburg,Employed,42319.72,2020-12-17,2020,12,17,3,12.0,15672.9,1306.075,6124.93,High Income
172,Kabelo,Naidoo,37,Kwazulu-Natal,Durban,Employed,16894.74,2015-11-04,2015,11,4,2,12.0,11364.59,947.0491666666668,4420.49,Middle Income
173,Amelia,Mabena,49,Northern Cape,Kuruman,Employed,52763.21,2014-06-30,2014,6,30,0,13.0,23046.33,1772.794615384615,13373.91,High Income
