Unnamed: 0,customer_id,first_name,last_name,age,province,city,employment_status,income,customer_since,Start_Year,Start_Month,Start_Day,Weekday
23,24,Amahle,Sithole,31,Kwazulu-Natal,Pietermaritzburg,Self-employed,29470.67,2019-11-03,2019,11,3,6
24,25,Nomsa,Ndlovu,47,Western Cape,Cape Town,Employed,44280.21,2018-12-21,2018,12,21,4
25,26,Mia,Williams,18,Gauteng,Pretoria,Self-employed,29107.91,2014-07-14,2014,7,14,0
26,27,Mia,Williams,18,North West,Rustenburg,Self-employed,22746.53,2023-09-28,2023,9,28,3
27,28,Sipho,Mabena,53,Northern Cape,Kuruman,Employed,49710.92,2013-12-26,2013,12,26,3
28,29, Amahle ,Nkosi,25,Free State,Bethlehem,Self-employed,21905.06,2024-04-28,2024,4,28,6
29,30,Amahle,Mokoena,20,Gauteng,Pretoria,Employed,17303.24,2017-02-03,2017,2,3,4
30,31,Nomsa,Mokoena,33,Eastern Cape,East London,Student,29498.94,2024-09-23,2024,9,23,0
31,32,Lerato,Mthembu,18,Eastern Cape,Gqeberha,Self-employed,6467.8,2022-09-20,2022,9,20,1
32,33,Liam,Van Wyk,18,Gauteng,Midrand,Employed,48560.92,2022-07-25,2022,7,25,0
33,34,Liam,Khumalo,56,Eastern Cape,Mthatha,Employed,11132.51,2025-05-28,2025,5,28,2
34,35,Lucas,Mokoena,59,Western Cape,Paarl,Employed,12300.29,2016-04-30,2016,4,30,5
35,36,Kabelo,Mahlangu,48,Gauteng,Midrand,Unemployed,0.0,2022-04-10,2022,4,10,6
36,37,Amahle,Mokoena,54,Kwazulu-Natal,Pietermaritzburg,Self-employed,66072.25,2015-05-27,2015,5,27,2
37,38,Anele,Dlamini,28,Gauteng,Pretoria,Unemployed,18536.23,2021-08-05,2021,8,5,3
38,39,Sibusiso,Van Wyk,61,Gauteng,Midrand,Employed,13514.7,2023-09-22,2023,9,22,4
39,40,Sipho,Nkosi,19,Limpopo,Thohoyandou,Employed,18700.4,2024-11-30,2024,11,30,5
40,41,Liam,Sithole,21,Northern Cape,Kimberley,Employed,7593.53,2024-10-06,2024,10,6,6
41,42,Kabelo,Adams,67,Kwazulu-Natal,Durban,Employed,0.0,2017-11-20,2017,11,20,0
42,43,Amahle,Pillay,42,Limpopo,Polokwane,Self-employed,16962.94,2019-03-12,2019,3,12,1
43,44,Amelia,Khumalo,55,Northern Cape,Kuruman,Self-employed,7246.79,2014-11-27,2014,11,27,3
44,45,Bongani,Williams,61,Gauteng,Midrand,Student,14680.05,2023-06-10,2023,6,10,5
45,46,Anele,Jacobs,41,Kwazulu-Natal,Richards Bay,Employed,10045.43,2014-10-28,2014,10,28,1
46,47,Amahle,Sithole,18,Gauteng,Pretoria,Employed,25314.12,2025-10-25,2025,10,25,5
47,48,Liam,Mokoena,46,Western Cape,Cape Town,Employed,0.0,2013-08-26,2013,8,26,0
48,49,Bongani,Sithole,46,Free State,Bloemfontein,Self-employed,12718.36,2014-11-12,2014,11,12,2
49,50,Sophia,Sithole,44,Kwazulu-Natal,Pietermaritzburg,Unemployed,20651.89,2020-11-07,2020,11,7,5
50,51,Sipho,Molefe,31,Kwazulu-Natal,Richards Bay,Employed,105174.49,2023-10-16,2023,10,16,0
51,52,Thabo,Pillay,37,Gauteng,Pretoria,Unemployed,29216.47,2023-02-24,2023,2,24,4
52,53,Naledi,Adams,24,Gauteng,Soweto,Employed,16053.53,2012-09-01,2012,9,1,5
53,54,Zanele,Adams,44,Mpumalanga,Mbombela,Employed,39525.63,2023-07-28,2023,7,28,4
54,55,Kabelo,Mthembu,37,Western Cape,Stellenbosch,Student,7346.56,2025-01-14,2025,1,14,1
55,56,Oliver,Williams,55,Gauteng,Midrand,Employed,20541.47,2015-03-02,2015,3,2,0
56,57,Oliver,Jacobs,18,Gauteng,Pretoria,Student,4140.31,2019-12-23,2019,12,23,0
57,58,Noah,Mahlangu,23,Kwazulu-Natal,Richards Bay,Employed,32545.94,2014-01-01,2014,1,1,2
58,59,Lerato,Dlamini,53,Kwazulu-Natal,Pietermaritzburg,Unemployed,0.0,2020-03-15,2020,3,15,6
59,60,Sibusiso,Mokoena,25,Kwazulu-Natal,Durban,Employed,7227.2,2021-12-20,2021,12,20,0
60,61,Bongani,Jacobs,40,Western Cape,Stellenbosch,Employed,14667.22,2025-02-19,2025,2,19,2
61,62,Emma,Mthembu,58,Gauteng,Midrand,Unemployed,28604.57,2024-04-11,2024,4,11,3
62,63,Sipho,Ndlovu,38,Limpopo,Thohoyandou,Retired,43320.13,2024-02-25,2024,2,25,6
63,64,Ayanda,Ndlovu,54,Eastern Cape,Gqeberha,Self-employed,16771.94,2019-10-20,2019,10,20,6
64,65,Sibusiso,Sithole,38,Eastern Cape,East London,Retired,42797.64,2022-06-29,2022,6,29,2
65,66,Ayanda,Molefe,49,Eastern Cape,Mthatha,Nan,23458.05,2016-08-23,2016,8,23,1
66,67,Sophia,Adams,61,Free State,Bethlehem,Employed,17270.02,2017-10-03,2017,10,3,1
67,68,Amahle,Sithole,33,Western Cape,Stellenbosch,Retired,23951.0,2019-02-23,2019,2,23,5
68,69,Sophia,Sithole,32,Gauteng,Pretoria,Self-employed,27391.42,2018-05-18,2018,5,18,4
69,70,Anele,Mahlangu,32,Kwazulu-Natal,Pietermaritzburg,Employed,33501.39,2015-11-20,2015,11,20,4
70,71,Ethan,Sithole,42,Gauteng,Soweto,Self-employed,19881.59,2018-11-06,2018,11,6,1
71,72,Liam,Molefe,28,Limpopo,Tzaneen,Unemployed,9580.68,2024-08-10,2024,8,10,5
72,73,Amahle,Nkosi,36,Kwazulu-Natal,Pietermaritzburg,Unemployed,17312.14,2018-04-08,2018,4,8,6
73,74,Lucas,Dlamini,60,Free State,Bethlehem,Retired,139551.02,2025-05-17,2025,5,17,5
74,75,Zanele,Van Wyk,48,Limpopo,Tzaneen,Student,30533.1,2014-11-04,2014,11,4,1
75,76,Lucas,Nkosi,38,Kwazulu-Natal,Richards Bay,Employed,23900.17,2023-09-29,2023,9,29,4
76,77,Amelia,Jacobs,37,Mpumalanga,Mbombela,Employed,45029.99,2021-04-29,2021,4,29,3
77,78,Zanele,Naidoo,35,Kwazulu-Natal,Pietermaritzburg,Self-employed,12789.07,2013-02-07,2013,2,7,3
78,79,Mia,Dlamini,40,Limpopo,Thohoyandou,Self-employed,13697.72,2020-07-08,2020,7,8,2
79,80,Ayanda,Dlamini,18,Gauteng,Pretoria,Employed,12754.88,2019-06-07,2019,6,7,4
80,81,Liam,Botha,39,Kwazulu-Natal,Durban,Unemployed,65820.36,2015-03-08,2015,3,8,6
81,82,Emma,Williams,62,Kwazulu-Natal,Durban,Self-employed,15735.84,2013-01-23,2013,1,23,2
82,83,Sophia,Mabena,44,Western Cape,Cape Town,Employed,11593.9,2017-12-14,2017,12,14,3
83,84,Lerato,Williams,59,Gauteng,Midrand,Self-employed,37797.24,2020-07-29,2020,7,29,2
84,85,Mia, Jacobs ,43,Mpumalanga,Emalahleni,Employed,6436.75,2021-01-01,2021,1,1,4
85,86,Ayanda,Jacobs,19,Eastern Cape,East London,Student,25084.76,2017-06-29,2017,6,29,3
86,87,Lucas,Khumalo,38,Gauteng,Pretoria,Employed,16442.79,2024-10-30,2024,10,30,2
87,88,Emma,Dlamini,43,Gauteng,Soweto,Student,26958.5,2016-02-10,2016,2,10,2
88,89,Noah,Mahlangu,44,Gauteng,Midrand,Self-employed,62483.66,2020-10-31,2020,10,31,5
89,90,Naledi,Mabena,21,Western Cape,Paarl,Retired,22856.15,2013-11-04,2013,11,4,0
90,91,Amahle,Jacobs,39,North West,Mahikeng,Unemployed,24934.73,2012-09-15,2012,9,15,5
91,92,Lucas,Mthembu,43,Kwazulu-Natal,Richards Bay,Self-employed,11064.92,2025-10-08,2025,10,8,2
92,93,Lerato,Khumalo,41,Gauteng,Pretoria,Employed,11880.06,2025-08-20,2025,8,20,2
93,94,Naledi,Nkosi,51,Kwazulu-Natal,Durban,Self-employed,74826.49,2022-07-03,2022,7,3,6
94,95,Ethan,Mabena,28,Western Cape,Paarl,Employed,6863.48,2025-03-10,2025,3,10,0
95,96,Zanele,Nkosi,37,Gauteng,Johannesburg,Retired,13312.82,2022-04-22,2022,4,22,4
96,97,Lerato,Williams,47,Eastern Cape,Mthatha,Employed,87108.59,2012-04-24,2012,4,24,1
97,98,Nomsa,Williams,31,Eastern Cape,Gqeberha,Employed,5670.29,2019-06-04,2019,6,4,1
98,99,Zanele,Adams,34,Northern Cape,Kimberley,Employed,9684.3,2015-09-27,2015,9,27,6
99,100,Noah,Mthembu,54,Eastern Cape,Gqeberha,Employed,16200.67,2018-12-21,2018,12,21,4
100,101,Naledi,Jacobs,37,Kwazulu-Natal,Durban,Employed,10453.96,2022-08-09,2022,8,9,1
101,102,Emma,Khumalo,31,Free State,Welkom,Self-employed,30358.31,2025-08-09,2025,8,9,5
102,103,Mia,Naidoo,48,Mpumalanga,Emalahleni,Unemployed,9396.25,2021-11-16,2021,11,16,1
103,104,Anele,Jacobs,56,Free State,Bloemfontein,Employed,18827.52,2016-03-09,2016,3,9,2
104,105,Ayanda,Molefe,49,North West,Klerksdorp,Employed,6392.08,2022-12-26,2022,12,26,0
105,106,Emma,Nkosi,39,Limpopo,Polokwane,Employed,27379.93,2022-11-03,2022,11,3,3
106,107,Oliver,Mthembu,43,Mpumalanga,Mbombela,Employed,28660.16,2018-03-31,2018,3,31,5
107,108,Ethan,Dlamini,30,Western Cape,George,Nan,9944.06,2020-11-21,2020,11,21,5
108,109,Ethan,Mthembu,30,Free State,Bloemfontein,Nan,35224.48,2014-03-11,2014,3,11,1
109,110,Mia,Nkosi,21,Kwazulu-Natal,Richards Bay,Employed,26059.9,2023-08-16,2023,8,16,2
110,111,Thabo,Pillay,37,Kwazulu-Natal,Durban,Employed,12195.16,2024-03-14,2024,3,14,3
111,112,Ayanda,Van Wyk,29,Eastern Cape,Mthatha,Employed,17110.19,2013-02-21,2013,2,21,3
112,113,Emma,Van Wyk,34,North West,Klerksdorp,Self-employed,11488.24,2021-04-06,2021,4,6,1
113,114,Amahle,Khumalo,38,Northern Cape,Kimberley,Retired,16289.82,2017-02-11,2017,2,11,5
114,115,Oliver,Nkosi,38,Gauteng,Pretoria,Employed,60222.72,2024-10-18,2024,10,18,4
115,116,Kabelo,Khumalo,43,Free State,Welkom,Employed,22204.7,2012-10-05,2012,10,5,4
116,117,Lucas,Ndlovu,26,Free State,Welkom,Unemployed,32414.53,2023-02-22,2023,2,22,2
117,118,Ayanda,Naidoo,41,Gauteng,Johannesburg,Self-employed,11702.12,2018-06-15,2018,6,15,4
118,119,Ethan,Pillay,39,Gauteng,Pretoria,Self-employed,32881.87,2014-02-10,2014,2,10,0
119,120,Sipho,Sithole,41,Western Cape,Cape Town,Employed,45663.93,2017-08-12,2017,8,12,5
120,121,Sipho,Ndlovu,18,Free State,Welkom,Employed,10107.69,2019-02-24,2019,2,24,6
121,122,Liam,Jacobs,66,Kwazulu-Natal,Durban,Employed,48079.29,2012-08-01,2012,8,1,2
122,123,Lucas,Mahlangu,29,Northern Cape,Upington,Employed,37811.53,2020-06-08,2020,6,8,0
123,124,Ava,Williams,32,Kwazulu-Natal,Durban,Student,26473.63,2012-03-09,2012,3,9,4
124,125,Ayanda,Mahlangu,18,Northern Cape,Upington,Self-employed,11293.53,2017-02-19,2017,2,19,6
125,126,Emma,Mthembu,45,Gauteng,Johannesburg,Nan,49054.16,2023-09-25,2023,9,25,0
126,127,Naledi,Botha,53,Limpopo,Thohoyandou,Employed,68518.97,2020-11-22,2020,11,22,6
127,128,Mia,Ndlovu,18,Western Cape,Cape Town,Nan,45659.73,2020-03-17,2020,3,17,1
128,129,Ethan,Adams,36,Kwazulu-Natal,Pietermaritzburg,Retired,18898.76,2025-01-12,2025,1,12,6
129,130,Amelia, Nkosi ,41,Limpopo,Tzaneen,Employed,20867.07,2022-06-06,2022,6,6,0
130,131,Oliver,Botha,45,North West,Mahikeng,Employed,31940.36,2019-01-15,2019,1,15,1
131,132,Anele,Dlamini,66,Limpopo,Tzaneen,Employed,6011.43,2015-02-10,2015,2,10,1
132,133,Emma,Jacobs,59,Western Cape,Cape Town,Employed,18543.83,2014-01-08,2014,1,8,2
133,134,Ava,Khumalo,35,Gauteng,Midrand,Employed,12723.61,2018-12-17,2018,12,17,0
134,135,Zanele,Khumalo,18,Western Cape,Cape Town,Employed,44394.75,2025-05-27,2025,5,27,1
135,136,Mia,Mokoena,35,Western Cape,Stellenbosch,Self-employed,14102.98,2022-04-23,2022,4,23,5
136,137,Ava,Mokoena,36,Eastern Cape,East London,Student,47646.78,2016-10-17,2016,10,17,0
137,138,Naledi,Ndlovu,29,Eastern Cape,Gqeberha,Retired,6411.85,2021-06-11,2021,6,11,4
138,139,Bongani,Pillay,29,Free State,Welkom,Unemployed,0.0,2023-03-30,2023,3,30,3
139,140,Kabelo,Van Wyk,22,Mpumalanga,Mbombela,Employed,10024.86,2024-01-26,2024,1,26,4
140,141,Kabelo,Dlamini,39,Free State,Bloemfontein,Employed,76707.03,2020-09-23,2020,9,23,2
141,142,Ethan,Adams,39,Limpopo,Thohoyandou,Nan,14244.22,2015-12-04,2015,12,4,4
142,143,Zanele,Molefe,20,Western Cape,Paarl,Employed,6157.49,2012-06-15,2012,6,15,4
143,144,Sipho,Naidoo,37,Gauteng,Johannesburg,Student,16114.86,2013-09-08,2013,9,8,6
144,145,Sipho,Mthembu,70,Eastern Cape,Mthatha,Self-employed,16684.79,2015-04-11,2015,4,11,5
145,146,Kabelo,Williams,31,Limpopo,Thohoyandou,Retired,0.0,2014-01-30,2014,1,30,3
146,147,Ava,Molefe,48,Western Cape,George,Student,6679.01,2022-03-09,2022,3,9,2
147,148,Mia,Mthembu,41,Kwazulu-Natal,Pietermaritzburg,Self-employed,23371.34,2016-10-04,2016,10,4,1
148,149,Sibusiso,Khumalo,49,Eastern Cape,East London,Employed,13082.66,2023-09-23,2023,9,23,5
149,150,Lerato,Mthembu,43,Western Cape,Stellenbosch,Employed,48859.92,2022-06-04,2022,6,4,5
150,151,Ava,Nkosi,22,Gauteng,Pretoria,Self-employed,42119.24,2014-07-23,2014,7,23,2
151,152,Liam,Mokoena,54,Mpumalanga,Mbombela,Employed,34981.17,2013-10-19,2013,10,19,5
152,153,Kabelo,Botha,39,Eastern Cape,Mthatha,Employed,24515.11,2018-03-03,2018,3,3,5
153,154,Amelia,Mthembu,18,Gauteng,Midrand,Self-employed,14471.43,2019-11-16,2019,11,16,5
154,155,Bongani,Sithole,55,Limpopo,Polokwane,Retired,23309.86,2017-07-08,2017,7,8,5
155,156,Thabo,Pillay,81,Gauteng,Pretoria,Self-employed,64515.76,2021-05-30,2021,5,30,6
156,157,Kabelo,Mabena,57,Limpopo,Tzaneen,Employed,0.0,2013-02-01,2013,2,1,4
157,158,Sipho,Mokoena,27,Gauteng,Midrand,Self-employed,19312.41,2024-10-12,2024,10,12,5
158,159,Sipho,Sithole,33,Kwazulu-Natal,Pietermaritzburg,Employed,33867.18,2023-10-15,2023,10,15,6
159,160,Ayanda,Dlamini,55,Gauteng,Soweto,Employed,12068.69,2014-10-18,2014,10,18,5
160,161,Zanele,Sithole,34,Gauteng,Soweto,Employed,16026.51,2018-03-31,2018,3,31,5
161,162,Kabelo,Naidoo,56,Mpumalanga,Mbombela,Employed,31895.65,2019-07-30,2019,7,30,1
162,163,Amahle,Dlamini,35,Gauteng,Pretoria,Unemployed,18644.83,2023-12-03,2023,12,3,6
163,164,Nomsa,Williams,54,Western Cape,George,Unemployed,16122.95,2015-05-04,2015,5,4,0
164,165,Noah,Sithole,62,Gauteng,Pretoria,Employed,34489.82,2020-12-24,2020,12,24,3
165,166,Liam,Naidoo,41,Eastern Cape,Mthatha,Employed,31400.16,2020-01-01,2020,1,1,2
166,167,Oliver,Adams,29,Limpopo,Thohoyandou,Nan,34760.17,2013-12-03,2013,12,3,1
167,168,Emma,Adams,25,Northern Cape,Kimberley,Employed,15187.12,2022-03-21,2022,3,21,0
168,169,Lerato,Naidoo,44,Gauteng,Pretoria,Employed,20787.56,2021-09-26,2021,9,26,6
169,170,Sibusiso,Adams,42,Gauteng,Soweto,Employed,21686.51,2025-01-27,2025,1,27,0
170,171,Amelia,Pillay,56,Gauteng,Johannesburg,Employed,42319.72,2020-12-17,2020,12,17,3
171,172,Kabelo,Naidoo,37,Kwazulu-Natal,Durban,Employed,16894.74,2015-11-04,2015,11,4,2
172,173,Amelia,Mabena,49,Northern Cape,Kuruman,Employed,52763.21,2014-06-30,2014,6,30,0
173,174,Anele,Van Wyk,40,Eastern Cape,East London,Employed,46178.99,2024-11-25,2024,11,25,0
174,175,Lerato,Botha,20,Kwazulu-Natal,Pietermaritzburg,Retired,13027.83,2020-06-29,2020,6,29,0
175,176,Sophia,Pillay,34,Gauteng,Midrand,Employed,18003.55,2021-04-20,2021,4,20,1
176,177,Sibusiso,Jacobs,23,Mpumalanga,Mbombela,Self-employed,21290.96,2012-12-06,2012,12,6,3
177,178,Bongani,Van Wyk,37,Kwazulu-Natal,Richards Bay,Employed,23010.11,2016-03-06,2016,3,6,6
178,179,Mia,Mahlangu,32,Gauteng,Pretoria,Employed,29446.77,2017-09-06,2017,9,6,2
179,180,Lerato,Pillay,18,Gauteng,Pretoria,Employed,19373.77,2012-07-15,2012,7,15,6
180,181,Naledi,Pillay,33,Western Cape,Cape Town,Self-employed,31388.65,2019-02-26,2019,2,26,1
181,182,Sipho,Pillay,42,Gauteng,Soweto,Self-employed,0.0,2025-07-26,2025,7,26,5
182,183,Sipho,Sithole,27,Western Cape,George,Employed,25428.94,2016-08-25,2016,8,25,3
183,184,Amahle,Botha,37,Kwazulu-Natal,Durban,Unemployed,38816.27,2013-08-12,2013,8,12,0
184,185,Ayanda,Mokoena,45,Eastern Cape,Mthatha,Self-employed,37146.08,2012-08-22,2012,8,22,2
185,186,Thabo,Sithole,29,Gauteng,Pretoria,Employed,31734.49,2022-01-01,2022,1,1,5
186,187,Bongani,Jacobs,47,Kwazulu-Natal,Durban,Student,16770.73,2023-07-24,2023,7,24,0
187,188,Lerato,Mokoena,35,North West,Klerksdorp,Employed,20665.1,2025-07-25,2025,7,25,4
188,189,Anele,Adams,18,Free State,Welkom,Employed,20848.7,2012-03-16,2012,3,16,4
189,190,Nomsa,Mahlangu,33,Kwazulu-Natal,Richards Bay,Student,24301.79,2021-06-29,2021,6,29,1
190,191,Emma,Jacobs,49,Gauteng,Johannesburg,Employed,23274.0,2023-05-13,2023,5,13,5
191,192,Nomsa,Naidoo,33,Mpumalanga,Secunda,Employed,53268.05,2016-05-26,2016,5,26,3
192,193,Nomsa,Mokoena,53,Gauteng,Johannesburg,Employed,15754.07,2018-06-01,2018,6,1,4
193,194,Mia,Botha,31,Gauteng,Soweto,Student,19386.89,2022-11-06,2022,11,6,6
194,195,Sipho,Sithole,36,Mpumalanga,Mbombela,Retired,18834.24,2013-11-20,2013,11,20,2
195,196,Emma,Naidoo,31,Kwazulu-Natal,Durban,Employed,38601.55,2014-12-26,2014,12,26,4
196,197,Naledi,Mabena,36,Free State,Bloemfontein,Employed,3284.45,2014-06-07,2014,6,7,5
197,198,Liam,Botha,35,Kwazulu-Natal,Durban,Employed,56410.85,2023-01-20,2023,1,20,4
198,199,Ethan,Pillay,32,Eastern Cape,Gqeberha,Nan,38179.72,2017-10-11,2017,10,11,2
199,200,Ava,Ndlovu,18,Gauteng,Pretoria,Self-employed,27441.26,2025-12-16,2025,12,16,1
200,201,Ayanda,Naidoo,36,Gauteng,Nan,Retired,11276.38,2016-10-21,2016,10,21,4
201,202,Naledi,Mabena,22,Gauteng,Pretoria,Employed,15816.92,2024-01-19,2024,1,19,4
202,203,Naledi,Mabena,21,Gauteng,Pretoria,Employed,23761.19,2015-08-01,2015,8,1,5
203,204,Sophia,Mokoena,44,Mpumalanga,Mbombela,Employed,17128.21,2015-08-09,2015,8,9,6
204,205,Lucas,Adams,47,Gauteng,Soweto,Employed,31754.59,2021-01-02,2021,1,2,5
205,206,Lerato,Ndlovu,37,Kwazulu-Natal,Durban,Employed,13022.22,2016-03-09,2016,3,9,2
206,207,Thabo,Williams,37,Limpopo,Polokwane,Student,33965.22,2025-03-11,2025,3,11,1
207,208,Noah,Jacobs,39,Limpopo,Polokwane,Retired,63876.78,2015-04-05,2015,4,5,6
208,209,Sophia,Pillay,29,Kwazulu-Natal,Richards Bay,Employed,21127.75,2019-08-29,2019,8,29,3
209,210,Thabo,Jacobs,47,Kwazulu-Natal,Richards Bay,Employed,32349.51,2022-07-20,2022,7,20,2
210,211,Ava,Naidoo,39,Northern Cape,Kuruman,Employed,21717.45,2021-03-03,2021,3,3,2
211,212,Naledi,Ndlovu,51,Eastern Cape,East London,Employed,22787.53,2022-09-26,2022,9,26,0
212,213,Ethan,Mokoena,18,Limpopo,Polokwane,Nan,59137.57,2024-02-24,2024,2,24,5
213,214,Nomsa,Mahlangu,43,Mpumalanga,Mbombela,Unemployed,7686.49,2023-09-21,2023,9,21,3
214,215,Amelia,Sithole,64,Limpopo,Thohoyandou,Self-employed,46245.76,2016-09-19,2016,9,19,0
215,216,Naledi,Ndlovu,41,Gauteng,Midrand,Employed,10278.46,2024-02-05,2024,2,5,0
216,217,Zanele,Nkosi,18,Kwazulu-Natal,Richards Bay,Employed,94206.99,2021-07-19,2021,7,19,0
217,218,Sophia,Pillay,21,Western Cape,George,Employed,10295.56,2014-12-30,2014,12,30,1
218,219,Bongani,Naidoo,42,Eastern Cape,East London,Employed,22846.03,2017-08-07,2017,8,7,0
219,220,Sibusiso,Dlamini,33,North West,Mahikeng,Employed,58420.49,2023-06-20,2023,6,20,1
220,221,Sophia,Ndlovu,19,Kwazulu-Natal,Durban,Unemployed,39346.59,2020-07-28,2020,7,28,1
221,222,Bongani,Molefe,18,Kwazulu-Natal,Richards Bay,Employed,23564.87,2012-03-28,2012,3,28,2
222,223,Ava,Ndlovu,50,Western Cape,Stellenbosch,Employed,45317.92,2019-10-04,2019,10,4,4
223,224,Amahle,Mahlangu,22,North West,Rustenburg,Employed,14829.36,2014-10-24,2014,10,24,4
224,225,Nomsa,Botha,21,Western Cape,Paarl,Employed,19577.0,2021-04-03,2021,4,3,5
225,226,Liam,Jacobs,42,Western Cape,Stellenbosch,Unemployed,19073.15,2013-01-11,2013,1,11,4
226,227,Oliver,Mthembu,36,Gauteng,Midrand,Self-employed,32925.06,2021-04-01,2021,4,1,3
227,228,Noah,Botha,42,Western Cape,Stellenbosch,Student,126377.11,2019-09-09,2019,9,9,0
228,229,Bongani,Van Wyk,25,Kwazulu-Natal,Richards Bay,Employed,42667.3,2021-08-18,2021,8,18,2
229,230,Ayanda,Adams,51,Kwazulu-Natal,Richards Bay,Retired,52674.38,2023-01-03,2023,1,3,1
230,231,Sibusiso,Nkosi,52,Gauteng,Soweto,Employed,13461.75,2024-12-28,2024,12,28,5
231,232,Lerato,Sithole,35,Western Cape,Cape Town,Employed,38595.2,2021-12-10,2021,12,10,4
232,233,Oliver,Botha,32,Western Cape,Cape Town,Employed,3722.07,2022-12-15,2022,12,15,3
233,234,Emma,Mahlangu,48,Gauteng,Johannesburg,Unemployed,9802.08,2024-01-06,2024,1,6,5
234,235,Mia,Mthembu,51,Western Cape,Cape Town,Employed,30672.0,2014-02-11,2014,2,11,1
235,236,Noah,Pillay,40,Eastern Cape,East London,Self-employed,17742.93,2018-06-05,2018,6,5,1
236,237,Ava,Van Wyk,37,Gauteng,Midrand,Employed,11846.84,2016-07-12,2016,7,12,1
237,238,Noah,Adams,53,Gauteng,Midrand,Self-employed,18930.08,2022-07-27,2022,7,27,2
238,239,Emma,Adams,64,Gauteng,Johannesburg,Self-employed,0.0,2021-08-27,2021,8,27,4
239,240,Zanele,Mabena,47,Gauteng,Johannesburg,Employed,10482.56,2024-11-02,2024,11,2,5
240,241,Amahle,Mabena,46,Western Cape,Stellenbosch,Self-employed,60869.41,2024-03-22,2024,3,22,4
241,242,Thabo,Khumalo,37,Western Cape,Paarl,Employed,10018.62,2018-12-21,2018,12,21,4
242,243,Kabelo,Naidoo,35,Mpumalanga,Emalahleni,Retired,10029.3,2018-05-23,2018,5,23,2
243,244,Lerato,Mokoena,52,Western Cape,George,Self-employed,9774.04,2012-07-10,2012,7,10,1
244,245,Lerato,Mabena,39,Kwazulu-Natal,Richards Bay,Employed,33577.08,2016-11-05,2016,11,5,5
245,246, Emma ,Molefe,59,Kwazulu-Natal,Pietermaritzburg,Student,13048.6,2022-11-18,2022,11,18,4
246,247,Sibusiso,Botha,46,Gauteng,Johannesburg,Student,5367.08,2021-01-04,2021,1,4,0
247,248,Oliver,Molefe,58,Kwazulu-Natal,Durban,Retired,28261.63,2023-10-29,2023,10,29,6
248,249,Bongani,Mthembu,18,Limpopo,Tzaneen,Self-employed,18541.41,2021-02-02,2021,2,2,1
249,250,Ayanda,Sithole,41,Limpopo,Tzaneen,Employed,32970.2,2012-08-04,2012,8,4,5
250,251,Sibusiso,Nkosi,18,Gauteng,Soweto,Employed,36748.21,2016-01-02,2016,1,2,5
